id,name,country,category,nostalgia_index,frequency,ingredients_difficulty,story,image_path
1,Beshbarmak,Kazakhstan,Main,10,2,7,"I missed beshbarmak most during Chuseok. Called my mom from Taraz, she was cooking it for the whole family. Tried to explain to Korean friends what 'five fingers' means.",beshbarmak.jpg
2,Kurt,Kazakhstan,Snack,10,6,9,"My grandma from Taraz used to make kurt for long journeys. In Korea, I found some stores and a neighborhood where they are sold, and I go there whenever I feel homesick.",kurt.jpg
3,Kimchi,Korea,Side,5,9,2,"My favorite side dish in Korean cuisine. I’d love to attend a kimchi-making master class. I buy it every time — it’s also very healthy.",kimchi.jpg
4,Taraz Apples,Kazakhstan,Fruit,8,2,3,"Apples from Taraz are the sweetest. When I tried Korean apples, they were different - more crispy but less aromatic.",apples.jpg
5,Tteokbokki,Korea,Street,6,8,3,"First korean street food I tried in my hometown, Taraz. My first experience with Korean cuisine, and I fell in love with it.",tteokbokki.jpg
6,Baursak,Kazakhstan,Side,9,2,5,"I made them for a national dishes competition, and afterward, I shared them with my professors and Korean friends. They said it tasted like doughnuts, just without the sugar.",baursak.jpg
7,Plov,Kazakhstan,Main,8,2,6,"Actually, it’s a traditional Uzbek dish, but we cook and eat it so often in Kazakhstan that I couldn’t leave it off the list. Rice with meat, carrots, and garbanzo beans is simply heaven for me.",plov.jpg
8,Kimbap,Korea,Snack,5,7,4,"My go-to lunch at university, cheap and tasty",kimbap.jpg
9,Samgyetang,Korea,Main,10,3,10,"Samgyetang is very good when you're sick. Immediately feel better and full of energy. Reminds me of how my mom in Taraz made chicken soup when I was ill.",samgyetang.jpg
10,Dakgalbi,Korea,Main,8,5,10,"Can't cook often because it's complicated to prepare, and going to restaurants is expensive because everywhere you need to order 2 portions, can't order just one.",dakgalbi.jpg
11,Jajangmyeon,Korea,Noodles,7,4,5,"First Korean-Chinese food I tried. So different from lagman in Taraz!",jajangmyeon.jpg
12,Hotteok,Korea,Street,5,6,4,"Winter comfort food. Sweet and warm, perfect for cold Seoul days.",hotteok.jpg