id,word,language,meaning,emotional_weight,year_learned,context
1,Konakzhailylik,Kazakh,Hospitality,9,2010,"Grew up with this value in Taraz. Our door was always open, tea always ready for guests."
2,어색해 (Eosaekhae),Korean,Awkward,9,2022,"First months in Korea. Everything felt 어색해 - supermarkets, subway, university campus."
3,Dostyk,Kazakh,Friendship,10,2008,"My school friends in Taraz. Now we're scattered worldwide but still connected."
4,힘내세요 (Himnaeseyo),Korean,Don't give up!,1,2023,"Dance team leader during  preparations competition. Wanted to quit but she believed in me."
5,Taraz,Kazakh,My hometown,10,2005,"Born and raised. The smell of rain on hot asphalt, our bazaar, mountains in the distance."
6,감사합니다 (Kamsahamnida),Korean,Thank you,7,2022,"Said it thousand times. First Korean word I used confidently."
7,보고싶다 (Bogoshipda),Korean,I miss you,9,2022,"Texting parents in Taraz every night. 보고싶다 엄마 became my ritual."
8,대학생 (Daehaksaeng),Korean,University student,3,2024,"Proud to say '저는 서울과기대생이에요' (I'm SeoulTech student). Dream achieved."
9,춤 (Chum),Korean,Dance,4,2024,"Joined dance club at SeoulTech. Through 춤 found friends and confidence."
10,성공 (Seonggong),Korean,Success,1,2024,"Getting into SeoulTech with scholarship. First major 성공 in Korea."
11,Отан (Otan),Kazakh,Homeland,8,2010,"Feeling that grows stronger when you're far away. Kazakhstan will always be Отаным."
12,Сапар (Sapar),Kazakh,Journey,8,2022,"My biggest Sapar - from Taraz to Seoul. Changed my life completely."
13,Mereke,Kazakh,Feast,7,2010,"Used during holidays and family gatherings."